id_point,name,type,altitude,lat,lon,group
1240,Mont peney,sommet,1315,45.5978,5.9897,0
532,Pointe de la Galoppaz,sommet,1681,45.56587,6.06663,0
526,Pic de Bure,sommet,2710,44.6267,5.9349,0
2054,Tète de Lapras,sommet,2584,44.758,5.838,0
2327,L'Aiguille,sommet,2037,44.8025,5.8238,0
2057,Tète de la Cavale,sommet,2697,44.767,5.828,0
2053,Grand-Ferrand,sommet,2758,44.721,5.815,0
2056,Tète de l'Aupet,sommet,2627,44.7438,5.8303,0
3696,Le Rocher Rond,sommet,2453,44.6971,5.82716,0
1208,Le Châtel ou(Bonnet de Calvin),sommet,1937,44.8133,5.812,0
1066,Grande Tête de l'Obiou,sommet,2789,44.775,5.839,0
4077,Gros Têt ou Cime du Rachas,sommet,2613,45.07451,6.23973,0
2089,Aiguilles d'Arves,sommet,3514,45.1266,6.336,0
2088,Pic de l'Etendard,sommet,3464,45.154,6.144,0
6687,Cime des Torches (ou Grand Agnelin),sommet,2960,45.15112,6.25029,0
605,Mont Thabor,sommet,3178,45.1144,6.56402,0
3823,Mont d'Ambin,sommet,3378,45.15658,6.88427,0
5929,Grand Galibier,sommet,3228,45.0639,6.4341,0
3264,Pointe Sommeiller,sommet,3332,45.1279,6.85214,0
5656,Pointe d'Etache,sommet,3080,45.1861505748555,6.8569278717041,0
3254,Pic Ombière,sommet,2862,45.00769,6.51942,0
2110,Pointe des Cerces,sommet,3097,45.0655,6.4838,0
2109,Pic du Lac Blanc,sommet,2980,45.0682,6.5707,0
3826,Rocher de la Grande Tempête.,sommet,3002,45.08027,6.55863,0
1410,Le Sirac,sommet,3440,44.7898,6.307,0
3210,Roc Diolon,sommet,3071,44.73338,6.36333,0
1064,Aiguille du Plat de la Selle,sommet,3597,44.96442,6.22296,0
2521,Pic Turbat,sommet,3028,44.8536,6.1699,0
1769,Pointe de Confolens,sommet,2990,44.9717813101804,6.03153705596924,0
1766,Le Neyrard,sommet,2795,44.9698989175766,6.02089405059815,0
1768,Rochail,sommet,3022,44.9800388186415,6.03132247924805,0
2036,Pic de Parières,sommet,3076,44.7793,6.2405,0
2039,Tête de Rame ou Tête des Chétives,sommet,2644,44.9276654788628,6.0235333442688,0
4354,Tête de la Muraillette,sommet,3019,44.94659,6.08042,0
2776,Pied Moutet,sommet,2339,45.00692,6.09619,0
3222,L'Olan,sommet,3564,44.85914,6.19671,0
3277,Aiguille de l’Olan,sommet,3373,44.8772,6.19999,0
541,Vieux Chaillol,sommet,3163,44.73579,6.18979,0
3221,Les Rouies,sommet,3589,44.86385,6.25804,0
4841,Têtes de Mal Cros,sommet,3086,44.73938,6.20053,0
5404,Grande Ruine (Pte Brevoort),sommet,3765,44.96778,6.32889,0
5405,Meije (pic Oriental),sommet,3891,45.0037,6.3188,0
1065,Les Bans,sommet,3669,44.8483,6.3361,0
2107,Grand-Pinier ou Pic-Brun,sommet,3117,44.7239,6.401,0
2399,Pic du col d'Ornon,sommet,2872,44.9955,6.0158,0
2386,Grand Renaud,sommet,2776,45,6.0108,0
2998,Le Touret,sommet,1572,44.9462,5.981,0
3003,Pic des Scies de St Anne,sommet,2730,44.8433,6.1105,0
2092,Tète de Vautisse,sommet,3156,44.701,6.485,0
2202,Le Colombier,sommet,1948,44.8738,5.9405,0
2091,Le Mourre-Froid,sommet,2993,44.638,6.4,0
5431,Mont Pelvoux (Pte Puiseux),sommet,3943,44.8974,6.3961,0
3249,Tête des Fétoules,sommet,3459,44.89984,6.23746,0
540,Le Grand Armet,sommet,2792,44.9811316350694,5.93411922454834,0
539,Le Taillefer,sommet,2857,45.0394,5.92417,0
680,Le Sénépy,sommet,1769,44.9082,5.7211,0
679,La Peyrouse,sommet,1710,44.9924,5.7245,0
