"x","place","code","lon","lat","ligne","arr","transit"
"http://fr.dbpedia.org/resource/Villejuif_-_Léo_Lagrange_(métro_de_Paris)","Villejuif - Léo Lagrange",26,2.36393,48.8038,"7","",2558494
"http://fr.dbpedia.org/resource/Faidherbe_-_Chaligny_(métro_de_Paris)","Faidherbe - Chaligny",12,2.3834,48.8502,"8","11",3079358
"http://fr.dbpedia.org/resource/Odéon_(métro_de_Paris)","Odéon",104,2.33895,48.8521,"10, 4","6",6156948
"http://fr.dbpedia.org/resource/Balard_(métro_de_Paris)","Balard",1609,2.27822,48.8363,"8","15",4189814
"http://fr.dbpedia.org/resource/Porte_d'Ivry_(métro_de_Paris)","Porte d'Ivry",26,2.37044,48.821,"7","13",1868796
"http://fr.dbpedia.org/resource/Gallieni_(métro_de_Paris)","Gallieni",23,2.41664,48.8649,"3","",6316117
"http://fr.dbpedia.org/resource/Barbès_-_Rochechouart_(métro_de_Paris)","Barbès - Rochechouart",2107,2.35052,48.8836,"2, 4","9",8392009
"http://fr.dbpedia.org/resource/Jourdain_(métro_de_Paris)","Jourdain",23,2.38951,48.8752,"11","http://fr.dbpedia.org/resource/19e_arrondissement_de_Paris, http://fr.dbpedia.org/resource/20e_arrondissement_de_Paris",3462099
"http://fr.dbpedia.org/resource/Crimée_(métro_de_Paris)","Crimée",22,2.37707,48.8916,"7","19",6945245
"http://fr.dbpedia.org/resource/Bobigny_-_Pantin_-_Raymond_Queneau_(métro_de_Paris)","Bobigny - Pantin -",3,2.42493,48.8954,"5","",2371008
"http://fr.dbpedia.org/resource/La_Fourche_(métro_de_Paris)","La Fourche",3114,2.32587,48.8869,"13","17",2904781
"http://fr.dbpedia.org/resource/Porte_de_Montreuil_(métro_de_Paris)","Porte de Montreuil",5,2.41224,48.8538,"9","20",4862314
"http://fr.dbpedia.org/resource/Saint-Paul_(métro_de_Paris)","Saint-Paul",1210,2.36065,48.8551,"1","4",6515486
"http://fr.dbpedia.org/resource/Malakoff_-_Rue_Étienne-Dolet_(métro_de_Paris)","Malakoff - Rue Étienne-Dolet",27,2.2973,48.8147,"13","",1881782
"http://fr.dbpedia.org/resource/Cadet_(métro_de_Paris)","Cadet",2103,2.34488,48.8761,"7","9",3612956
"http://fr.dbpedia.org/resource/Louis_Blanc_(métro_de_Paris)","Louis Blanc",22,2.36484,48.8811,"7, 7b","10",2489483
"http://fr.dbpedia.org/resource/Bibliothèque_François-Mitterrand_(métro_de_Paris)","Bibliothèque François-Mitterrand",15,2.37609,48.8296,14,"13",15472531
"http://fr.dbpedia.org/resource/La_Défense_(métro_de_Paris)","La Défense",29,2.23788,48.8919,"1, 15","",14275382
"http://fr.dbpedia.org/resource/Pierre_et_Marie_Curie_(métro_de_Paris)","Pierre et Marie Curie",26,2.37789,48.8159,"7","",1404039
"http://fr.dbpedia.org/resource/Pont_de_Levallois_-_Bécon_(métro_de_Paris)","Pont de Levallois - Bécon",2915,2.28079,48.8973,"3","",5100344
"http://fr.dbpedia.org/resource/Victor_Hugo_(métro_de_Paris)","Victor Hugo",1810,2.2852,48.8698,"2","16",3908009
"http://fr.dbpedia.org/resource/Richelieu_-_Drouot_(métro_de_Paris)","Richelieu - Drouot",11,2.33874,48.872,"8, 9","2",5362641
"http://fr.dbpedia.org/resource/Ledru-Rollin_(métro_de_Paris)","Ledru-Rollin",12,2.37612,48.8513,"8","11",3917141
"http://fr.dbpedia.org/resource/Plaisance_(métro_de_Paris)","Plaisance",403,2.31374,48.8316,"13","14",4794268
"http://fr.dbpedia.org/resource/Gare_de_l'Est_(métro_de_Paris)","Gare de l'Est",2109,2.35828,48.8761,"4, 5, 7","10",19989528
"http://fr.dbpedia.org/resource/Robespierre_(métro_de_Paris)","Robespierre",5,2.42368,48.8557,"9","",4448864
"http://fr.dbpedia.org/resource/Campo-Formio_(métro_de_Paris)","Campo-Formio",14,2.35813,48.835,"5","13",1120960
