,city,lat,lng,admin
174,Niortais,46.3258,-0.460556,
175,Noyonnais,49.6192,3.02611,
176,Ostriconi,42.65944444,9.05805556,
177,Pays Glazik,48.098611111111005,-4.2072222222222,
178,Pays d'Aigues,43.7433,5.3760900000000005,
179,Pays d'Auge,49.199290909090905,0.18095963636363635,
180,Pays d'Aulnoye,48.9386,2.4906,
181,Pays d'Othe,48.2471,3.770975,
182,Pays d'Ouche,48.92474285714286,0.7387302857142857,
183,Pays de Bitche,49.0493,7.345715,
184,Pays de Bray,49.69457222166667,1.4690327783333332,
185,Pays de Buch,44.6528,-1.16919,
186,Pays de Caux,49.671294445,0.5477313333333333,
187,Pays de Dol,48.5338249,-1.746702,
188,Pays de Forcalquier,43.978120000000004,5.774888000000001,
189,Pays de France,48.96209166666666,2.4844491666666664,
190,Pays de Gex,46.30456666599999,6.078279556,
191,Pays de Lusignan et de Vouillé,46.5385,0.1466665,
192,Pays de Nied,49.23835,6.514585,
193,Pays de Saint-Brieuc,48.5107792,-2.8008246,
194,Pays de Saint-Malo,48.646260600000005,-2.077342,
195,Pays de Savoie,45.56666667,5.93333333,
196,Pays de Thelle,49.20943333333333,2.2237033333333334,
197,Pays du Buëch,44.426733333333324,5.787316666666666,
198,Pays du Vignoble nantais,47.086944444444,-1.2836111111111002,
199,Pays nantais,47.2382006,-1.6302671999999998,
200,Pays niçois,43.701944444443996,7.268333333333301,
201,Pays rennais,48.1159102,-1.7235596999999998,
202,Petit Angoumois,45.3831,-0.236206,
203,Petite Camargue,43.6090133333334,4.26449066666666,
204,Petite Montagne du Jura,46.394444444444,5.4533333333333,
205,Petites-Landes,43.91973333333333,-0.5427776666666667,
206,Pilat,45.3833,4.5722,
207,Pithiverais,48.1725,2.2525,
208,Plaine de la Lys,50.70536666666666,2.882593333333333,
209,Plaine de la Scarpe,50.42875,3.3555599999999997,
210,Plateau du Limousin,45.5333,1.5167,
211,Poitevin,46.5819,0.33611199999999997,
212,Puisaye,47.642583333333334,3.001436666666667,
213,Périgord central,45.185,0.7189,
214,Pévèle,50.510786,3.2462779999999993,
215,Quercorb,42.98,2.0,
216,Quercy Blanc,44.31626666666667,1.36991,
217,Queyras,44.733331665,6.791668335,
218,Revermont,46.22498889,5.355833335,
219,Rocca,41.6429,8.926168,
220,Roche d'Oëtre,48.8437,0.3805,
221,Rogna,42.1952,9.249073333333333,
222,Rogna in La,42.17445,9.209025,
223,Rogna in Qua,42.2367,9.32917,
224,Rougier de Camarès,43.8233,2.88028,
225,Roumois,49.33412,0.8291107999999999,
226,Royannais,45.65486,-0.9970478,
227,Ruffécois,45.933633333333326,0.12996666666666665,
228,SAGE de l'Escaut,50.2202,3.3904633333333334,
229,Saint-Affricain,43.89125,2.88375,
230,Saintonge,45.75,-0.63333303,
231,Saintonge romane,45.7464,-0.6333,
232,Santerre,49.760833333333345,2.7663766666666665,
233,Saosnois,48.3517,0.367778,
234,Savoie,45.57,5.9118,
235,Serra,42.218500000000006,9.43435,
236,Sevi in Dentro,42.2544,8.80194,
237,Sevi in Fora,42.211666666666666,8.658796666666666,
238,Sidobre,43.64499047571428,2.3992857142857145,
239,Sologne,47.5591,2.1151400000000002,
240,Sologne bourbonnaise,46.5653,3.33333,
241,Suisse normande,48.855544445,-0.4479166666666667,
242,Ségala,44.169999999999995,2.4374066666666665,
243,Talavo,41.9081,9.13083,
244,Taravo,41.85594,9.004722000000001,
245,Tardenois,49.2221,3.5320699999999996,
246,Thiérache,49.96273333333334,4.076573333333333,
247,Thouarsais,46.9758,-0.214167,
248,Thymerais,48.611725,1.06207425,
249,Toulonnais,43.11403333333333,5.981646666666666,
250,Trièves,44.8,5.66666667,
251,Trégor,48.7325,-3.4552777777778,
252,Val de Loire,47.21629,0.06217999999999999,
253,Val de Saire,49.642295000000004,-1.3101200000000002,
254,Val de Saône,46.1789,4.8178,
255,Valdaine,44.75,4.91666667,
