,url,name,lon,lat,altitude,range,category,group,short_name,hint
93,http://fr.dbpedia.org/resource/Col_des_Gets,Col des Gets,6.66667,46.1569,1170.0,Chablais,col,3,Col des Gets,Chablais
94,http://fr.dbpedia.org/resource/Col_de_Porte_(Isère),Col de Porte,5.76722,45.2894,1326.0,Chartreuse,col,3,Col de Porte,Chartreuse
95,http://fr.dbpedia.org/resource/Col_de_la_Seigne,Col de la Seigne,6.80722,45.7514,2516.0,Mont-Blanc,col,3,Col de la Seigne,Mont-Blanc
96,http://fr.dbpedia.org/resource/Col_des_Saisies,Col des Saisies,6.52861,45.7583,1633.0,Beaufortain,col,0,Col des Saisies,Beaufortain
97,http://fr.dbpedia.org/resource/Col_Bayard,Col Bayard,6.08134,44.6128,1248.0,Écrins,col,3,Col Bayard,Écrins
98,http://fr.dbpedia.org/resource/Col_de_Grimone,Col de Grimone,5.65397,44.6917,1318.0,Diois,col,3,Col de Grimone,Diois
99,http://fr.dbpedia.org/resource/Col_de_Rousset,Col de Rousset,5.406,44.8406,1254.0,Vercors,col,0,Col de Rousset,Vercors
100,http://fr.dbpedia.org/resource/Col_de_la_Bataille_(Vercors),Col de la Bataille,5.23197,44.8974,1313.0,Vercors,col,3,Col de la Bataille,Vercors
101,http://fr.dbpedia.org/resource/Col_de_la_Charmette,Col de la Charmette,5.7401,45.3219,1261.0,Chartreuse,col,3,Col de la Charmette,Chartreuse
102,http://fr.dbpedia.org/resource/Col_de_la_Croix-de-Fer,Col de la Croix-de-Fer,6.20373,45.2278,2068.0,Grandes Rousses,col,0,Col de la Croix-de-Fer,Grandes Rousses
103,http://fr.dbpedia.org/resource/Col_de_la_Madeleine,Col de la Madeleine,6.37556,45.4353,1993.0,Vanoise,col,0,Col de la Madeleine,Vanoise
104,http://fr.dbpedia.org/resource/Col_des_Montets,Col des Montets,6.92335,46.0035,1461.0,Mont-Blanc,col,3,Col des Montets,Mont-Blanc
105,http://fr.dbpedia.org/resource/Col_du_Coq,Col du Coq,5.83663,45.3025,1434.0,Chartreuse,col,3,Col du Coq,Chartreuse
