,fact,coords,year,location,country,lon,lat,city,lng
92,Prise de pouvoir des Khmers rouges,"11° 34′ 18″ N, 104° 55′ 23″ E",1975,Phnom Penh,Cambodge,104.92305555555556,11.571666666666667,Prise de pouvoir des Khmers rouges (1975),104.92305555555556
93,Début de la guerre civile libanaise,"33° 33′ 38″ N, 35° 23′ 53″ E",1975,Camp de Sabra,Liban,35.39805555555556,33.56055555555555,Début de la guerre civile libanaise (1975),35.39805555555556
94,Proclamation de la République libyenne par Khadafi,"32° 07′ 00″ N, 20° 04′ 00″ E",1969,Benghazi,Libye,20.066666666666666,32.11666666666667,Proclamation de la République libyenne par Khadafi (1969),20.066666666666666
95,Festival de Woodstock,"41° 42′ 05″ N, 74° 52′ 49″ W",1969,Bethel,USA,-74.88027777777778,41.70138888888889,Festival de Woodstock (1969),-74.88027777777778
96,Premier essai nucléaire français,"23° 19′ N, 0° 04′ W",1960,Reggane,Algérie,-0.06666666666666667,23.316666666666666,Premier essai nucléaire français (1960),-0.06666666666666667
99,Proclamation de l'indépendance de l'Indonésie,"6° 12′ 53″ S, 106° 50′ 42″ E",1945,Jakarta,Indonésie,106.845,-6.214722222222222,Proclamation de l'indépendance de l'Indonésie (1945),106.845
100,Sommet des pays non-alignés,"44° 49′ N, 20° 28′ E",1961,Belgrade,Yougoslavie,20.466666666666665,44.81666666666667,Sommet des pays non-alignés (1961),20.466666666666665
102,Restitution de Macao à la Chine,"22° 10′ 00″ N, 113° 33′ 00″ E",1999,Macao,Chine,113.55,22.166666666666668,Restitution de Macao à la Chine (1999),113.55
103,Fin de l'Apartheid,"33° 55′ 31″ S, 18° 25′ 26″ E",1991,Le Cap,Afrique du Sud,18.42388888888889,-33.92527777777777,Fin de l'Apartheid (1991),18.42388888888889
104,Admundsen atteint le pôle Nord,"90° N, 0° E",1926,,,0.0,90.0,Admundsen atteint le pôle Nord (1926),0.0
105,Première ascension du mont Everest,"27° 59′ 18″ N, 86° 55′ 31″ E",1953,Shigatsé,Népal,86.92527777777778,27.988333333333333,Première ascension du mont Everest (1953),86.92527777777778
106,Crise d'Agadir,"30° 25′ N, 9° 36′ W",1911,Agadir,Maroc,-9.6,30.416666666666668,Crise d'Agadir (1911),-9.6
107,Adhésion de l'Arizona aux États-Unis,"34° 17′ 12″ N, 111° 39′ 25″ W",1912,Arizona,USA,-111.65694444444445,34.28666666666666,Adhésion de l'Arizona aux États-Unis (1912),-111.65694444444445
108,Éclatement de la guerre civile irlandaise,"53° 20′ 45″ N, 6° 16′ 25″ W",1922,Dublin,Irlande,-6.273611111111111,53.34583333333334,Éclatement de la guerre civile irlandaise (1922),-6.273611111111111
