,city,country,lat,lon,pop,group
139,Victoria,Seychelles,-4.6167,55.45,92000.0,2
140,Kuala Lumpur,Malaisie,3.13333,101.68299999999999,28334.0,0
141,Canberra,Australie,-35.3075,149.124,,1
142,Colombo,Sri Lanka,6.9344399999999995,79.8428,,0
143,Astana,Kazakhstan,51.1667,71.4333,17693500.0,0
144,Pyongyang,Corée du Nord,39.0194,125.738,24895000.0,0
145,Managua,Nicaragua,12.1364,-86.2514,,1
146,Dili,Timor oriental,-8.56667,125.56700000000001,,2
147,Islamabad,Pakistan,33.43,73.04,201995540.0,0
148,San Salvador,Salvador,13.69,-89.19,6377195.0,0
149,Harare,Zimbabwe,-17.8639,31.0297,12973808.0,1
150,Riyad,Arabie saoudite,24.6333,46.7167,30770375.0,0
151,Tunis,Tunisie,36.8,10.1833,10982754.0,0
152,Téhéran,Iran,35.6961,51.4231,79200000.0,0
153,Palikir,Micronésie,6.9172199999999995,158.159,106104.0,1
154,Rabat,Maroc,34.0333,-6.84165,,1
155,Tegucigalpa,Honduras,14.1,-87.2167,8249574.0,1
156,Minsk,Biélorussie,53.9,27.5667,9498700.0,1
157,Ouagadougou,Burkina Faso,12.3572,-1.53528,17322796.0,1
158,Paramaribo,Suriname,5.86667,-55.1667,573311.0,1
159,Pretoria,Afrique du Sud,-25.7461,28.1881,54956900.0,1
160,Brazzaville,République du Congo,-4.26778,15.2919,4662446.0,1
161,Roseau,Dominique,15.3014,-61.3883,72660.0,1
162,Port-au-Prince,Haïti,18.5333,-72.3333,10604000.0,0
163,Brasilia,Brésil,-15.7939,-47.8828,206440850.0,1
164,Lusaka,Zambie,-15.4167,28.2833,16212000.0,1
165,Bridgetown,Barbade,13.1058,-59.6131,,2
166,Nicosie,Chypre,35.1667,33.3667,1141166.0,2
167,Yaren,Nauru,-0.5477,166.921,,2
168,Port Moresby,Papouasie-Nouvelle-Guinée,-9.513639999999999,147.148,7059653.0,0
169,Nassau,Bahamas,25.06,-77.345,392718.0,2
170,Tbilissi,Géorgie,41.7167,44.7833,3720400.0,1
171,Damas,Syrie,33.5131,36.2919,17064854.0,0
172,San José,Costa Rica,9.93333,-84.0833,,1
173,Stockholm,Suède,59.3294,18.0686,9920881.0,0
174,Rome,Italie,41.9,12.5,60674003.0,0
175,Porto-Novo,Bénin,6.4972199999999996,2.605,10879829.0,2
176,Guatemala,Guatemala,14.6133,-90.5353,15806675.0,0
177,Port-Vila,Vanuatu,-17.75,168.3,,0
178,Lisbonne,Portugal,38.7138,-9.13939,10341330,0
179,Le Caire,Égypte,30.05,31.2333,85783,0
180,Kampala,Ouganda,0.313611,32.5811,,1
181,Mexico,Mexique,19.4333,-99.1333,119530753,0
182,Belmopan,Belize,17.2514,-88.7669,368310,1
183,La Havane,Cuba,23.1333,-82.3833,,0
184,Gaborone,Botswana,-24.6581,25.9122,,1
185,Pékin ,Chine ,39.9064 ,116.383 ,1376049000,0
186,Singapour ,Singapour ,1.28333 ,103.927 ,5610000,0
187,Helsinki,Finlande,60.170833,24.9375,,0
188,Athènes,Grèce,37.983972,23.727806,,1
