,name,lat,lon,population,country
286,Indianapolis,39.7771,-86.1458,1564.699,United States
287,Xiantao,30.3704,113.44,1556.0,China
288,Khulna,22.84,89.56,1553.0,Bangladesh
289,Weifang,36.7204,119.1001,1553.0,China
290,Tijuana,32.5,-117.08,1553.0,Mexico
291,Santiago,19.5,-70.67,1550.753,Dominican Republic
292,Xinyang,32.1304,114.07,1541.0,China
293,Luzhou,28.88,105.38,1537.0,China
294,Perth,-31.955,115.84,1532.0,Australia
295,Toluca,19.3304,-99.67,1531.0,Mexico
296,Vishakhapatnam,17.73,83.305,1529.0,India
297,Leeds,53.83,-1.58,1529.0,United Kingdom
298,Kobe,34.68,135.17,1528.478,Japan
299,Columbus,39.986,-82.9851,1528.314,United States
300,Multan,30.2,71.455,1522.0,Pakistan
301,Kochi,10.015,76.2239,1519.0,India
302,Montevideo,-34.858,-56.1711,1513.0,Uruguay
303,Gujranwala,32.1604,74.185,1513.0,Pakistan
304,Niteroi,-22.9,-43.1,1500.513,Brazil
305,Ganzhou,25.92,114.95,1500.0,China
306,Florence,43.78,11.25,1500.0,Italy
307,Liuzhou,24.28,109.25,1497.0,China
308,Bamako,12.65,-8.0,1494.0,Mali
309,Conakry,9.5315,-13.6802,1494.0,Guinea
310,Bursa,40.2,29.07,1492.0,Turkey
311,Leon de los Aldama,21.15,-101.7,1488.0,Mexico
312,Virginia Beach,36.7335,-76.0435,1480.383,United States
313,Nasik,20.0004,73.78,1473.0,India
314,Fushun,41.8654,123.87,1470.0,China
315,Changde,29.03,111.68,1469.0,China
316,Daejeon,36.3355,127.425,1468.0,"Korea, South"
317,Charlotte,35.2079,-80.8304,1467.362,United States
318,Phnom Penh,11.55,104.9166,1466.0,Cambodia
319,Neijiang,29.5804,105.05,1466.0,China
320,Quanzhou,24.9,118.58,1463.0,China
321,Kharkiv,50.0,36.25,1461.0,Ukraine
322,Hyderabad City,25.38,68.375,1459.0,Pakistan
323,Bronx,40.8501,-73.8662,1455.72,United States
324,Lome,6.1319,1.2228,1452.0,Togo
325,Cordoba,-31.4,-64.1823,1452.0,Argentina
326,Huainan,32.63,116.98,1451.0,China
327,Doha,25.2866,51.533,1450.0,Qatar
328,Kuala Lumpur,3.1667,101.7,1448.0,Malaysia
329,Maputo,-25.9553,32.5892,1446.0,Mozambique
330,Kaduna,10.52,7.44,1442.0,Nigeria
331,Gwangju,35.171,126.9104,1440.0,"Korea, South"
332,Kawanakajima,35.53,139.705,1437.266,Japan
333,San Salvador,13.71,-89.203,1433.0,El Salvador
334,Suining,30.5333,105.5333,1425.0,China
335,Lyon,45.77,4.83,1423.0,France
336,Karaj,35.8004,50.97,1423.0,Iran
337,Kampala,0.3167,32.5833,1420.0,Uganda
338,Tabriz,38.0863,46.3012,1413.0,Iran
339,The Hague,52.08,4.27,1406.0,Netherlands
340,Davao,7.11,125.63,1402.0,Philippines
341,Marseille,43.29,5.375,1400.0,France
342,Meerut,29.0004,77.7,1398.0,India
343,Mianyang,31.47,104.77,1396.0,China
344,Semarang,-6.9666,110.42,1396.0,Indonesia
345,Faridabad,28.4333,77.3167,1394.0,India
346,Novosibirsk,55.03,82.96,1389.0,Russia
347,Mecca,21.43,39.82,1385.0,Saudi Arabia
348,Dubai,25.23,55.28,1379.0,United Arab Emirates
349,Milwaukee,43.0642,-87.9673,1377.808,United States
350,Auckland,-36.8481,174.763,1377.2,New Zealand
351,Ma'anshan,31.7304,118.48,1366.302,China
352,Brazzaville,-4.2592,15.2847,1355.0,Congo (Brazzaville)
353,Yiyang,28.6004,112.33,1352.0,China
354,Varanasi,25.33,83.0,1352.0,India
355,Lubumbashi,-11.68,27.48,1352.0,Congo (Kinshasa)
356,Juarez,31.6904,-106.49,1343.0,Mexico
357,Ghaziabad,28.6604,77.4084,1341.0,India
358,Pretoria,-25.7069,28.2294,1338.0,South Africa
359,Heze,35.23,115.45,1338.0,China
360,Porto,41.15,-8.62,1337.0,Portugal
361,Asansol,23.6833,86.9833,1328.0,India
362,Lusaka,-15.4166,28.2833,1328.0,Zambia
363,Changzhou,31.78,119.97,1327.0,China
364,Mosul,36.345,43.145,1316.0,Iraq
365,Yekaterinburg,56.85,60.6,1313.0,Russia
366,Peshawar,34.005,71.535,1303.0,Pakistan
367,Mandalay,21.97,96.085,1300.0,Burma
368,Jamshedpur,22.7875,86.1975,1300.0,India
369,Mbuji-Mayi,-6.15,23.6,1295.0,Congo (Kinshasa)
370,Madura,9.92,78.12,1294.0,India
371,Adana,36.995,35.32,1293.0,Turkey
372,Sheffield,53.3667,-1.5,1292.9,United Kingdom
373,Jabalpur,23.1751,79.9551,1285.0,India
374,San Jose,9.935,-84.0841,1284.0,Costa Rica
375,Panama City,8.968,-79.533,1281.0,Panama
376,Nizhniy Novgorod,56.333,44.0001,1278.0,Russia
377,Chifeng,42.27,118.95,1277.0,China
378,Duisburg,51.43,6.75,1276.757,Germany
379,Munich,48.1299,11.575,1275.0,Germany
380,Huaiyin,33.58,119.03,1264.0,China
381,Stockholm,59.3508,18.0973,1264.0,Sweden
382,Makassar,-5.14,119.432,1262.0,Indonesia
383,Rajkot,22.31,70.8,1260.0,India
384,Dhanbad,23.8004,86.42,1246.0,India
385,Mudanjiang,44.575,129.59,1244.0,China
386,Geneva,46.21,6.14,1240.0,Switzerland
387,Shiraz,29.63,52.57,1240.0,Iran
388,Huzhou,30.8704,120.1,1231.0,China
389,Beidao,34.6,105.92,1225.0,China
390,Shuangshui,26.5944,104.8333,1221.0,China
391,Dusseldorf,51.2204,6.78,1220.0,Germany
392,Gaozhou,21.9204,110.87,1217.715,China
393,Sevilla,37.405,-5.98,1212.045,Spain
394,Amritsar,31.64,74.87,1212.0,India
395,Vila Velha,-20.3676,-40.318,1209.091,Brazil
396,Vila Velha,3.2167,-51.2167,1209.091,Brazil
397,Almaty,43.325,76.915,1209.0,Kazakhstan
398,Providence,41.823,-71.4187,1206.642,United States
399,Warangal,18.01,79.58,1203.853,India
400,Rosario,-32.9511,-60.6663,1203.0,Argentina
401,Allahabad,25.455,81.84,1201.0,India
402,Benin City,6.3405,5.62,1190.0,Nigeria
403,Jining,35.4004,116.55,1186.0,China
404,Maceio,-9.62,-35.73,1186.0,Brazil
405,Sofia,42.6833,23.3167,1185.0,Bulgaria
406,Abbottabad,34.1495,73.1995,1183.647,Pakistan
407,Benghazi,32.1167,20.0667,1180.0,Libya
408,Cilacap,-7.7188,109.0154,1174.964,Indonesia
409,Prague,50.0833,14.466,1162.0,Czechia
410,Glasgow,55.8744,-4.2507,1160.0,United Kingdom
411,Leshan,29.5671,103.7333,1157.0,China
412,Jacksonville,30.3322,-81.6749,1156.291,United States
