,name,population,lat,lon
127,CLERMONT-SUR-LAUQUET,0.0,43.0464846976,2.4293167495
128,COURTAULY,0.1,43.0409426208,2.04467462056
129,EMBRES-ET-CASTELMAURE,0.2,42.9295753013,2.81822778929
130,FA,0.4,42.9276860891,2.17956693905
131,FRAISSE-DES-CORBIERES,0.2,42.9614186239,2.87149437178
132,LAGRASSE,0.6000000000000001,43.0957230349,2.60436046295
133,MERIAL,0.0,42.7713628009,1.96356419202
134,MISSEGRE,0.1,43.0021750779,2.37277504963
135,MONTIRAT,0.1,43.168735923,2.4320979662
136,MOUSSAN,1.8,43.2305950634,2.95635636294
137,OUVEILLAN,2.2,43.2931875374,2.96999154918
138,PUICHERIC,1.1,43.2293360442,2.61236027776
139,RAISSAC-D'AUDE,0.2,43.2283330728,2.87745345663
140,SAINT-MARTIN-LYS,0.0,42.8243329025,2.23823385379
141,SOUPEX,0.30000000000000004,43.3819001261,1.89059609045
142,VILLEGLY,1.0,43.2930208254,2.43699100253
143,LA CAPELLE-BALAGUIER,0.30000000000000004,44.4390516926,1.9259338711
144,CASTELMARY,0.1,44.1721922742,2.24442015696
145,LE FEL,0.2,44.6696449626,2.51772189007
146,PEYRELEAU,0.1,44.1757756277,3.20495893117
147,RODEZ,24.4,44.3582426254,2.5672793892
148,SAINT-CYPRIEN-SUR-DOURDOU,0.8,44.5403715999,2.39911464032
149,SAINT-GENIEZ-D'OLT,2.1,44.4732674724,2.98156818185
150,SAINT-HIPPOLYTE,0.4,44.7257623817,2.58415334807
151,SAINT-SALVADOU,0.4,44.2868447962,2.10394734886
152,LA TERRISSE,0.2,44.7433785292,2.82456048173
153,PELISSANNE,9.4,43.6308385635,5.15957327275
154,BAROU-EN-AUGE,0.1,48.9297518504,-0.0386142732111
155,BRETTEVILLE-L'ORGUEILLEUSE,2.3,49.2151517714,-0.51673661621
156,BRETTEVILLE-SUR-DIVES,0.30000000000000004,49.0361671804,0.0016368370047
157,CASTILLON,0.30000000000000004,49.1953923219,-0.797563519369
158,COLOMBY-SUR-THAON,0.4,49.2634403547,-0.420689926087
159,CORMOLAIN,0.4,49.1293685393,-0.863042429184
160,COURTONNE-LES-DEUX-EGLISES,0.6000000000000001,49.0888311326,0.37808461753
161,ERAINES,0.30000000000000004,48.9048554681,-0.157109731827
162,FONTAINE-LE-PIN,0.4,48.975148023,-0.291372010508
163,FOURNEVILLE,0.5,49.3575079529,0.232481397585
164,FRESNE-LA-MERE,0.5,48.8880480669,-0.125057878602
165,HERMANVILLE-SUR-MER,2.7,49.2832471592,-0.32297738333
166,HOTTOT-LES-BAGUES,0.5,49.1460867246,-0.653546590924
167,MOSLES,0.30000000000000004,49.3054549485,-0.820523193825
168,OSMANVILLE,0.6000000000000001,49.3339813037,-1.08866221246
169,OUILLY-LE-TESSON,0.5,48.9909032572,-0.21312584412
170,PLACY,0.1,48.9787845418,-0.426591427647
171,QUETTEVILLE,0.4,49.3419911166,0.300133346216
172,LA RIVIERE-SAINT-SAUVEUR,2.0,49.4080358178,0.268004849021
173,SAINT-AGNAN-LE-MALHERBE,0.1,49.0402327898,-0.581910750942
174,SAINT-AUBIN-D'ARQUENAY,0.8,49.2610054485,-0.283867469295
175,SAINT-ETIENNE-LA-THILLAYE,0.5,49.2916915945,0.117829362713
176,SAINTE-FOY-DE-MONTGOMMERY,0.2,48.9587088015,0.163639221018
177,SAINT-GATIEN-DES-BOIS,1.4,49.3508650728,0.186845848605
178,SAINT-GERMAIN-DE-LIVET,0.8,49.0768259488,0.197537877277
179,SAINT-LAURENT-DE-CONDEL,0.5,49.0261365757,-0.394821606161
180,SUBLES,0.7000000000000001,49.2391973351,-0.749928429068
181,ANDELAT,0.4,45.0699830319,3.05933407794
182,CHANTERELLE,0.1,45.3772414628,2.83331975255
183,CHAZELLES,0.0,45.1057762736,3.32678478247
184,LAFEUILLADE-EN-VEZIE,0.6000000000000001,44.7932691483,2.44817059954
185,MARCHASTEL,0.2,45.273977504,2.72930331123
186,RAULHAC,0.30000000000000004,44.9019840026,2.65720291985
187,SAINT-ETIENNE-CANTALES,0.1,44.9496115234,2.2437307084
188,SAINT-PIERRE,0.2,45.3953414957,2.38207391325
189,SAINT-PONCY,0.30000000000000004,45.1594604904,3.19462037388
190,SAINT-REMY-DE-CHAUDES-AIGUES,0.1,44.7672253376,3.02660075086
191,YOLET,0.6000000000000001,44.9307481726,2.5382689478
192,BAIGNES-SAINTE-RADEGONDE,1.3,45.374443862,-0.254082617191
193,BARDENAC,0.2,45.3005902681,-0.0148493213262
194,BORS (CANTON DE BAIGNES-SAINTE-RADEGONDE),0.1,45.3263203716,-0.199610560993
195,BRIGUEUIL,1.1,45.9509773487,0.869163472197
196,FOUQUEURE,0.4,45.8847149549,0.0756577865437
197,FOUSSIGNAC,0.6000000000000001,45.7127451252,-0.125082004293
198,GUIMPS,0.5,45.465898134,-0.254673070491
199,PEREUIL,0.4,45.4794769617,-0.0231705697031
200,LA BROUSSE,0.5,45.9023725634,-0.365190879008
201,BURIE,1.3,45.777851301,-0.428355211255
202,LOZAY,0.2,46.0435885992,-0.543351399248
203,MESSAC,0.1,45.3464492913,-0.313416526888
204,NEUILLAC,0.30000000000000004,45.5147014586,-0.399573394694
205,ORIGNOLLES,0.6000000000000001,45.2210229962,-0.23417146354
206,SAINT-HILAIRE-DU-BOIS,0.30000000000000004,45.4287275956,-0.488064971553
207,SAINT-JEAN-D'ANGLE,0.6000000000000001,45.8311345147,-0.972275648087
208,SAINT-MANDE-SUR-BREDOIRE,0.30000000000000004,46.0372800682,-0.27822687633
209,SAINT-MARTIAL-DE-MIRAMBEAU,0.2,45.3780654315,-0.594952157057
