,city,admin,lat,lng,population,local_rank,group
134,Saint-Martin-D'Heres,38,45.1762012553,5.76476360737,35.7,134,2
135,Echirolles,38,45.1471647181,5.715356001769999,35.7,135,2
136,Montelimar,26,44.554084573400004,4.74869387765,35.5,136,2
137,Pontault-Combault,77,48.7871411658,2.61407436985,35.3,137,2
138,Haguenau,67,48.8417047695,7.830104049680001,34.6,138,2
139,Creil,60,49.2533487138,2.4847266935900003,34.3,139,2
140,Colomiers,31,43.61155150800001,1.32700218407,34.3,140,2
141,Sainte-Genevieve-des-Bois,45,48.6412523804,2.33019417891,34.1,141,2
142,Macon,71,46.3205511756,4.81842529639,34.1,142,2
143,Agen,47,44.202813910399996,0.625583928763,33.9,143,2
144,Romans-sur-Isere,26,45.0547531985,5.03797756012,33.7,144,2
145,Thonon-les-Bains,74,46.370425804899995,6.48194336071,33.5,145,2
146,Epinal,88,48.16312026560001,6.47989286928,32.8,146,2
147,Chatellerault,86,46.8156700185,0.552598976936,32.7,147,2
148,Dieppe,76,49.9222503951,1.08681168449,32.7,148,2
149,Viry-Chatillon,91,48.669616893500006,2.37374357641,31.6,149,2
150,Annemasse,74,46.1909730986,6.24250704322,31.3,150,2
151,Goussainville,28,49.024343017,2.46619848866,31.0,151,2
152,Dreux,28,48.7485203213,1.3593185411200002,30.7,152,2
153,Athis-Mons,91,48.7092445775,2.38660492325,30.6,153,2
154,Mont-de-Marsan,40,43.899361404,-0.490722577455,30.4,154,2
155,Perigueux,24,45.191870487299994,0.711825549847,29.3,155,2
156,Carpentras,84,44.0593802565,5.06134844776,29.3,156,2
157,Orange,84,44.128913536999995,4.8098792403,29.0,157,2
158,Soissons,02,49.3791742979,3.32471758491,28.8,158,2
159,Villenave-D'Ornon,33,44.773185218,-0.5582122563840001,28.5,159,2
160,Aurillac,15,44.9245233686,2.44162453828,28.2,160,2
161,Savigny-le-Temple,77,48.588478576899995,2.57373861268,28.1,161,2
162,Saumur,49,47.2673853525,-0.0830410591988,28.1,162,2
163,Bergerac,24,44.85437518720001,0.486529423457,27.4,163,2
164,Alencon,61,48.4318193082,0.0915406916107,27.3,164,2
165,Vierzon,18,47.2368836077,2.0790757049,27.0,165,2
166,Aix-les-Bains,73,45.6978541675,5.90388626955,26.8,166,2
167,Saintes,17,45.7422300162,-0.6496230356430001,26.3,167,2
168,La Garde,04,43.1263279384,6.01898164719,26.1,168,2
169,Laon,02,49.567972489700004,3.62089561902,26.1,169,2
170,Montbeliard,25,47.5155169816,6.79148147353,26.1,170,2
171,Saint-Dizier,52,48.6280100668,4.94923523578,26.1,171,2
172,Sens,89,48.195672701499994,3.29793332552,25.9,172,2
173,Biarritz,64,43.469584722700006,-1.55309857519,25.4,173,2
174,Rochefort,73,45.9432344536,-0.972356445692,25.3,174,2
175,Vichy,03,46.1300051383,3.42442081174,25.1,175,2
176,Lunel,34,43.6820481757,4.13566472301,24.9,176,2
177,Dole,39,47.0755452538,5.50062446099,24.9,177,2
178,Saint-Sebastien-sur-Loire,44,47.203102479399995,-1.4992042741999998,24.7,178,2
179,Cavaillon,84,43.85083618260001,5.03606300916,24.7,179,2
180,Rodez,12,44.3582426254,2.5672793892,24.4,180,2
181,Abbeville,80,50.1083582944,1.8320917020700005,24.3,181,2
182,Epernay,51,49.037000688999996,3.93144626202,24.3,182,2
183,Villeneuve-sur-Lot,47,44.4251092866,0.742526167632,23.5,183,2
184,Oyonnax,01,46.2605435859,5.65344320923,22.9,184,2
185,Le Creusot,71,46.8068539189,4.426423011630001,22.8,185,2
186,Montigny-les-Metz,57,49.095319910600004,6.15452599506,22.7,186,2
187,Beaune,21,47.0255189366,4.83767985985,22.5,187,2
188,Lanester,56,47.769192427700006,-3.3264831796200003,22.3,188,2
189,Manosque,04,43.8354040831,5.7910665417299985,22.3,189,2
190,Fontaine,10,45.193050248599995,5.67763066542,22.0,190,2
191,Millau,12,44.097625220299996,3.11705384129,22.0,191,2
192,Sarreguemines,57,49.108814410200004,7.069431006830001,22.0,192,2
193,Herouville-Saint-Clair,14,49.20735606189999,-0.331022626025,21.9,193,2
194,Auch,32,43.6534300414,0.5751902504590001,21.8,194,2
195,Lisieux,14,49.1466628463,0.238274840452,21.8,195,2
196,Saint-Die-des-Vosges,88,48.296709351400004,6.938093675469999,21.5,196,2
197,Croix,90,50.6740689994,3.15464041723,21.2,197,2
198,Dax,40,43.700674697299995,-1.06014429759,21.0,198,2
199,Saint-Gratien,80,48.96897249479999,2.28518003438,20.3,199,2
200,Cahors,46,44.4507370916,1.44075837848,19.9,200,2
201,Luneville,54,48.5920244663,6.49810324732,19.9,201,2
202,Lannion,22,48.7433496707,-3.46159799691,19.8,202,2
203,Fougeres,35,48.3524697115,-1.19431177241,19.8,203,2
204,Annecy-le-Vieux,74,45.9193395896,6.160762404909999,19.8,204,2
205,Cournon-D'Auvergne,63,45.7429670015,3.18687581638,19.5,205,2
