,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Angola,primary,Luanda,Angola,AO,-8.836803999999997,13.233173999999998,5172900.0,1951272.0,1768,AF,Afrique
1,1,Angola,admin,Huambo,Angola,AO,-12.776111,15.739167000000002,1100000.0,872000.0,220,AF,Afrique
3,3,Angola,admin,Benguela,Angola,AO,-12.578333,13.407222,151226.0,132808.0,1770,AF,Afrique
4,4,Angola,admin,Namibe,Angola,AO,-15.196110999999998,12.152222,132900.0,123361.0,2,AF,Afrique
5,5,Angola,admin,Malanje,Angola,AO,-9.544722,16.345278,125856.0,87046.0,1771,AF,Afrique
6,6,Angola,admin,Lubango,Angola,AO,-14.916667000000002,13.5,125632.0,102541.0,1772,AF,Afrique
7,7,Angola,admin,Cuito,Angola,AO,-12.383333,16.933332999999998,114286.0,113624.0,748,AF,Afrique
8,8,Angola,admin,Cabinda,Angola,AO,-5.55,12.2,91791.0,66020.0,221,AF,Afrique
11,11,Angola,admin,Mbanza Congo,Angola,AO,-6.267028,14.240098,60182.0,24220.0,659,AF,Afrique
12,12,Angola,admin,Uíge,Angola,AO,-7.613282000000001,15.056621,60008.0,53567.0,660,AF,Afrique
13,13,Angola,admin,Saurimo,Angola,AO,-9.66078,20.391553,41316.0,40498.0,3,AF,Afrique
16,16,Angola,admin,Lucapa,Angola,AO,-8.419151,20.744655,31041.0,20115.0,750,AF,Afrique
18,18,Angola,admin,Caxito,Angola,AO,-8.58,13.664167,28224.0,3107.0,1774,AF,Afrique
19,19,Angola,admin,Luena,Angola,AO,-11.783333,19.916667,21115.0,13438.0,1810,AF,Afrique
24,24,Angola,admin,Menongue,Angola,AO,-14.661639,17.688223999999995,13030.0,13030.0,1521,AF,Afrique
29,29,Angola,admin,Ondjiva,Angola,AO,-17.066667000000002,15.733332999999998,10169.0,7327.0,161,AF,Afrique
31,31,Angola,admin,N’dalatando,Angola,AO,-9.3,14.916667000000002,8144.0,8144.0,222,AF,Afrique
48,48,Angola,admin,Sumbe,Angola,AO,-11.206048,13.843713,0.0,,661,AF,Afrique
0,0,Botswana,primary,Gaborone,Botswana,BW,-24.646389000000006,25.911944,208411.0,159243.0,528,AF,Afrique
1,1,Botswana,admin,Francistown,Botswana,BW,-21.17,27.507778,89979.0,88380.0,6,AF,Afrique
2,2,Botswana,admin,Lobatse,Botswana,BW,-25.214167,25.680833,69804.0,30883.0,493,AF,Afrique
3,3,Botswana,admin,Molepolole,Botswana,BW,-24.406587,25.495079,63248.0,52178.0,1869,AF,Afrique
5,5,Botswana,admin,Maun,Botswana,BW,-19.983333,23.416667,49945.0,44173.0,1523,AF,Afrique
6,6,Botswana,admin,Serowe,Botswana,BW,-22.383333,26.716667,48573.0,47419.0,1591,AF,Afrique
7,7,Botswana,admin,Kanye,Botswana,BW,-24.966746,25.332735,46831.0,44716.0,1812,AF,Afrique
8,8,Botswana,admin,Mochudi,Botswana,BW,-24.416667,26.15,39700.0,39700.0,1524,AF,Afrique
10,10,Botswana,admin,Tshabong,Botswana,BW,-26.05,22.45,9679.0,9679.0,1592,AF,Afrique
11,11,Botswana,admin,Kasane,Botswana,BW,-17.816667000000006,25.15,9250.0,6299.0,134,AF,Afrique
19,19,Botswana,admin,Sowa Town,Botswana,BW,-20.563611,26.224444,0.0,,1781,AF,Afrique
20,20,Botswana,admin,Masunga,Botswana,BW,-20.624546,27.448752,0.0,,1648,AF,Afrique
21,21,Botswana,admin,Selibe Phikwe,Botswana,BW,-21.975833,27.834722,0.0,,759,AF,Afrique
22,22,Botswana,admin,Ghanzi,Botswana,BW,-21.566667,21.783333,0.0,,760,AF,Afrique
23,23,Botswana,admin,Ramotswa,Botswana,BW,-24.871579,25.869893,0.0,,1813,AF,Afrique
24,24,Botswana,admin,Jwaneng,Botswana,BW,-24.601667000000006,24.728056,0.0,,164,AF,Afrique
0,0,Burundi,primary,Bujumbura,Burundi,BI,-3.3822,29.3644,331700.0,331700.0,226,AF,Afrique
2,2,Burundi,admin,Ruyigi,Burundi,BI,-3.476389,30.248611,38458.0,38458.0,761,AF,Afrique
3,3,Burundi,admin,Gitega,Burundi,BI,-3.4264,29.9308,23167.0,23167.0,227,AF,Afrique
4,4,Burundi,admin,Ngozi,Burundi,BI,-2.9075,29.8306,21506.0,21506.0,8,AF,Afrique
7,7,Burundi,admin,Makamba,Burundi,BI,-4.1348,29.804,19642.0,19642.0,228,AF,Afrique
11,11,Burundi,admin,Karuzi,Burundi,BI,-3.101389,30.162778000000007,10705.0,10705.0,764,AF,Afrique
13,13,Burundi,admin,Kirundo,Burundi,BI,-2.5845,30.0959,6083.0,6083.0,765,AF,Afrique
14,14,Burundi,admin,Mwaro,Burundi,BI,-3.5113,29.7051,0.0,,373,AF,Afrique
15,15,Burundi,admin,Rutana,Burundi,BI,-3.9279,29.992,0.0,,1593,AF,Afrique
16,16,Burundi,admin,Bururi,Burundi,BI,-3.9461,29.6197,0.0,,303,AF,Afrique
17,17,Burundi,admin,Cankuzo,Burundi,BI,-3.2186,30.5528,0.0,,1814,AF,Afrique
18,18,Burundi,admin,Bubanza,Burundi,BI,-3.0804,29.391,0.0,,766,AF,Afrique
19,19,Burundi,admin,Kayanza,Burundi,BI,-2.9221,29.6293,0.0,,1649,AF,Afrique
20,20,Burundi,admin,Rumonge,Burundi,BI,-3.9736,29.4386,0.0,,230,AF,Afrique
21,21,Burundi,admin,Muyinga,Burundi,BI,-2.8451,30.3414,0.0,,1526,AF,Afrique
22,22,Burundi,admin,Isale,Burundi,BI,-3.3489,29.4839,0.0,,1481,AF,Afrique
23,23,Burundi,admin,Cibitoke,Burundi,BI,-2.8869,29.1248,0.0,,689,AF,Afrique
24,24,Burundi,admin,Muramvya,Burundi,BI,-3.2682,29.6079,0.0,,165,AF,Afrique
