,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
2,2,Chine,admin,Guangzhou,China,CN,23.116667,113.25,8829000.0,3152825.0,11936,AS,Asie
4,4,Chine,admin,Wuhan,China,CN,30.583333000000003,114.266667,7243000.0,4184206.0,2677,AS,Asie
5,5,Chine,admin,Tianjin,China,CN,39.142222,117.176667,7180000.0,3766207.0,2788,AS,Asie
6,6,Chine,admin,Chongqing,China,CN,29.562778,106.552778,6461000.0,3967028.0,13668,AS,Asie
7,7,Chine,admin,Shenyang,China,CN,41.792222,123.432778,4787000.0,3512192.0,14352,AS,Asie
9,9,Chine,admin,Chengdu,China,CN,30.666667,104.066667,4123000.0,3950437.0,12473,AS,Asie
12,12,Chine,admin,Nanjing,China,CN,32.061667,118.777778,3679000.0,3087010.0,656,AS,Asie
13,13,Chine,admin,Guiyang,China,CN,26.583333000000003,106.716667,3662000.0,1171633.0,2679,AS,Asie
14,14,Chine,admin,Harbin,China,CN,45.75,126.65,3621000.0,3229883.0,2940,AS,Asie
16,16,Chine,admin,Changchun,China,CN,43.88,125.322778,3183000.0,2537421.0,14971,AS,Asie
19,19,Chine,admin,Hangzhou,China,CN,30.29365,120.161419,3007000.0,1878129.0,658,AS,Asie
20,20,Chine,admin,Kunming,China,CN,25.038889,102.718333,2931000.0,1023674.0,2789,AS,Asie
21,21,Chine,admin,Taiyuan,China,CN,37.869444,112.560278,2913000.0,2722475.0,2790,AS,Asie
23,23,Chine,admin,Jinan,China,CN,36.668333,116.997222,2798000.0,2069266.0,12992,AS,Asie
25,25,Chine,admin,Fuzhou,China,CN,26.061389,119.30611100000002,2606000.0,1179720.0,659,AS,Asie
26,26,Chine,admin,Changsha,China,CN,28.2,112.966667,2604000.0,2073938.0,2792,AS,Asie
28,28,Chine,admin,Lanzhou,China,CN,36.057006,103.839868,2561000.0,2004218.0,13369,AS,Asie
31,31,Chine,admin,Shijiazhuang,China,CN,38.041389,114.478611,2417000.0,1992474.0,661,AS,Asie
36,36,Chine,admin,Nanning,China,CN,22.816667,108.316667,2167000.0,803788.0,11938,AS,Asie
37,37,Chine,admin,Ürümqi,China,CN,43.807347,87.63050600000003,2151000.0,1508225.0,16249,AS,Asie
41,41,Chine,admin,Haikou,China,CN,20.045833,110.341667,2046189.0,1167428.0,4,AS,Asie
43,43,Chine,admin,Hefei,China,CN,31.863889,117.280833,2035000.0,1388904.0,662,AS,Asie
52,52,Chine,admin,Hohhot,China,CN,40.810556,111.652222,1726000.0,774477.0,666,AS,Asie
97,97,Chine,admin,Xining,China,CN,36.625541,101.75739,1048000.0,767531.0,12993,AS,Asie
105,105,Chine,admin,Yinchuan,China,CN,38.468056,106.273056,991000.0,324228.0,17860,AS,Asie
231,231,Chine,admin,Lhasa,China,CN,29.65,91.1,219599.0,118721.0,13378,AS,Asie
955,955,Chine,admin,Xi’an,China,CN,34.258333,108.928611,0.0,,13837,AS,Asie
1505,1505,Chine,admin,Zhengzhou,China,CN,34.757778,113.64861100000002,0.0,,14096,AS,Asie
1595,1595,Chine,admin,Nanchang,China,CN,28.683333,115.883333,0.0,,14155,AS,Asie
1,1,Taïwan,admin,Kaohsiung,Taiwan,TW,22.616256,120.313329,2769072.0,1519711.0,12881,AS,Asie
3,3,Taïwan,admin,Tainan,Taiwan,TW,22.990833,120.213333,1876312.0,762000.0,12883,AS,Asie
6,6,Taïwan,admin,Hsinchu,Taiwan,TW,24.803611,120.968611,750000.0,415557.0,12886,AS,Asie
7,7,Taïwan,admin,Pingtung,Taiwan,TW,22.671354,120.488142,503530.0,215975.0,12887,AS,Asie
8,8,Taïwan,admin,Chiayi,Taiwan,TW,23.479167,120.448889,500000.0,274212.0,12888,AS,Asie
9,9,Taïwan,admin,Keelung,Taiwan,TW,25.128251,121.7419,500000.0,387207.0,12889,AS,Asie
10,10,Taïwan,admin,Taoyuan,Taiwan,TW,24.9896,121.3187,500000.0,402014.0,12890,AS,Asie
11,11,Taïwan,admin,Hualien,Taiwan,TW,23.976944,121.604444,350468.0,108658.0,12891,AS,Asie
13,13,Taïwan,admin,Zhubei,Taiwan,TW,24.838333,121.007778,200000.0,148006.0,12893,AS,Asie
14,14,Taïwan,admin,Taitung,Taiwan,TW,22.759912,121.144569,175000.0,109584.0,12894,AS,Asie
19,19,Taïwan,admin,Yilan,Taiwan,TW,24.757,121.753,150000.0,95831.0,12879,AS,Asie
20,20,Taïwan,admin,Douliu,Taiwan,TW,23.709444,120.543333,106653.0,104723.0,12855,AS,Asie
21,21,Taïwan,admin,Magong,Taiwan,TW,23.569958,119.570043,56435.0,56435.0,12878,AS,Asie
23,23,Taïwan,admin,Taibao,Taiwan,TW,23.459444,120.332222,35000.0,34330.0,12857,AS,Asie
24,24,Taïwan,admin,Nantou,Taiwan,TW,23.905877,120.686558,0.0,,12858,AS,Asie
25,25,Taïwan,admin,Nangan,Taiwan,TW,26.150391,119.932836,0.0,,12859,AS,Asie
26,26,Taïwan,primary,Taipei,Taiwan,TW,25.047763,121.531846,0.0,,12860,AS,Asie
27,27,Taïwan,admin,Miaoli,Taiwan,TW,24.564271,120.82367,0.0,,12861,AS,Asie
28,28,Taïwan,admin,Banqiao,Taiwan,TW,25.014266,121.467191,0.0,,12862,AS,Asie
29,29,Taïwan,admin,Changhua,Taiwan,TW,24.074,120.5384,0.0,,12863,AS,Asie
30,30,Taïwan,admin,Taichung,Taiwan,TW,24.1469,120.6839,0.0,,12864,AS,Asie
31,31,Taïwan,admin,Jincheng,Taiwan,TW,24.434147,118.317118,0.0,,12865,AS,Asie
0,0,Inde,admin,Mumbai,India,IN,18.987807,72.83644699999998,18978000.0,12691836.0,12866,AS,Asie
1,1,Inde,admin,Delhi,India,IN,28.651952,77.231495,15926000.0,7633213.0,12867,AS,Asie
2,2,Inde,admin,Kolkata,India,IN,22.562627,88.36304399999999,14787000.0,4631392.0,12868,AS,Asie
3,3,Inde,admin,Chennai,India,IN,13.084622,80.248357,7163000.0,4328063.0,12869,AS,Asie
4,4,Inde,admin,Bengalūru,India,IN,12.977063,77.587106,6787000.0,5104047.0,12870,AS,Asie
5,5,Inde,admin,Hyderabad,India,IN,17.384052,78.456355,6376000.0,3597816.0,12871,AS,Asie
12,12,Inde,admin,Lucknow,India,IN,26.839281,80.92313299999998,2695000.0,2472011.0,12805,AS,Asie
14,14,Inde,admin,Patna,India,IN,25.615379,85.101027,2158000.0,1599920.0,9572,AS,Asie
17,17,Inde,admin,Bhopal,India,IN,23.254688,77.40289200000002,1727000.0,1599914.0,12737,AS,Asie
38,38,Inde,admin,Srīnagar,India,IN,34.085652,74.805553,1140000.0,975857.0,9626,AS,Asie
42,42,Inde,admin,Ranchi,India,IN,23.347768,85.338564,1044000.0,846454.0,9622,AS,Asie
45,45,Inde,admin,Chandigarh,India,IN,30.736292,76.788398,979000.0,914371.0,13154,AS,Asie
47,47,Inde,admin,Thiruvananthapuram,India,IN,8.485498,76.949238,954000.0,784153.0,13152,AS,Asie
51,51,Inde,admin,Raipur,India,IN,21.233333,81.633333,875000.0,679995.0,13148,AS,Asie
53,53,Inde,admin,Bhubaneshwar,India,IN,20.272411,85.833853,844000.0,762243.0,13146,AS,Asie
64,64,Inde,admin,Dehra Dūn,India,IN,30.324427000000004,78.033922,714223.0,578420.0,12789,AS,Asie
103,103,Inde,admin,Shillong,India,IN,25.573987,91.896807,375527.0,354325.0,13141,AS,Asie
114,114,Inde,primary,New Delhi,India,IN,28.6,77.2,317797.0,317797.0,13050,AS,Asie
132,132,Inde,admin,Aizawl,India,IN,23.736701,92.714596,283021.0,265331.0,13119,AS,Asie
134,134,Inde,admin,Imphal,India,IN,24.808053,93.944203,264986.0,223523.0,13013,AS,Asie
144,144,Inde,admin,Puducherry,India,IN,11.933812,79.829792,227411.0,227411.0,9589,AS,Asie
149,149,Inde,admin,Agartala,India,IN,23.836049,91.279386,203264.0,203264.0,13112,AS,Asie
169,169,Inde,admin,Shimla,India,IN,31.104423,77.166623,173503.0,173503.0,13105,AS,Asie
189,189,Inde,admin,Port Blair,India,IN,11.666667,92.75,127562.0,112050.0,13079,AS,Asie
194,194,Inde,admin,Kohima,India,IN,25.674673,94.110988,92113.0,92113.0,13084,AS,Asie
195,195,Inde,admin,Gangtok,India,IN,27.325739,88.612155,77900.0,30700.0,13086,AS,Asie
198,198,Inde,admin,Panaji,India,IN,15.498289000000002,73.824541,65586.0,65586.0,13125,AS,Asie
201,201,Inde,admin,Itanagar,India,IN,27.102349,93.692047,44971.0,44971.0,12939,AS,Asie
202,202,Inde,admin,Daman,India,IN,20.414315,72.83236,39737.0,39737.0,12940,AS,Asie
203,203,Inde,admin,Silvassa,India,IN,20.273855,72.996728,27359.0,27359.0,12941,AS,Asie
205,205,Inde,admin,Dispur,India,IN,26.135638,91.800688,16140.0,16140.0,12943,AS,Asie
206,206,Inde,admin,Kavaratti,India,IN,10.566667,72.616667,10688.0,10688.0,12944,AS,Asie
209,209,Inde,admin,Jaipur,India,IN,26.913312,75.787872,0.0,,12947,AS,Asie
210,210,Inde,admin,Ghandinagar,India,IN,23.216667,72.68333299999998,0.0,,12948,AS,Asie
1,1,Indonésie,admin,Surabaya,Indonesia,ID,-7.249167,112.750833,2845000.0,2374658.0,12951,AS,Asie
5,5,Indonésie,admin,Palembang,Indonesia,ID,-2.976389,104.75,1749000.0,1441500.0,9601,AS,Asie
11,11,Indonésie,admin,Bandar Lampung,Indonesia,ID,-5.429167,105.261111,865000.0,726514.0,12904,AS,Asie
14,14,Indonésie,admin,Pekanbaru,Indonesia,ID,0.516667,101.441667,799000.0,611436.0,12907,AS,Asie
16,16,Indonésie,admin,Yogyakarta,Indonesia,ID,-7.801389,110.364722,636660.0,636660.0,12909,AS,Asie
17,17,Indonésie,admin,Palu,Indonesia,ID,-0.908333,119.870833,612445.0,335297.0,12910,AS,Asie
19,19,Indonésie,admin,Banjarmasin,Indonesia,ID,-3.323611,114.588889,603576.0,572837.0,9587,AS,Asie
20,20,Indonésie,admin,Samarinda,Indonesia,ID,-0.491667,117.145833,592228.0,355160.0,9588,AS,Asie
27,27,Indonésie,admin,Jambi,Indonesia,ID,-1.620152,103.611373,457090.0,420323.0,12931,AS,Asie
30,30,Indonésie,admin,Bengkulu,Indonesia,ID,-3.8125,102.2875,426673.0,309712.0,13137,AS,Asie
