,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
8,8,Pérou,admin,Cusco,Peru,PE,-13.522643,-71.967344,361182.0,312140.0,490,SA,Amérique du Sud
10,10,Pérou,admin,Pucallpa,Peru,PE,-8.385512,-74.539073,310750.0,299084.0,492,SA,Amérique du Sud
12,12,Pérou,admin,Ica,Peru,PE,-14.067768,-75.728611,279420.0,246844.0,494,SA,Amérique du Sud
16,16,Pérou,admin,Huánuco,Peru,PE,-9.930617,-76.242228,158145.0,147959.0,197,SA,Amérique du Sud
18,18,Pérou,admin,Cajamarca,Peru,PE,-7.163672,-78.509958,142665.0,135000.0,500,SA,Amérique du Sud
19,19,Pérou,admin,Cerro de Pasco,Peru,PE,-10.667478,-76.256679,137232.0,78910.0,501,SA,Amérique du Sud
20,20,Pérou,admin,Puno,Peru,PE,-15.842202,-70.019899,116552.0,106148.0,502,SA,Amérique du Sud
21,21,Pérou,admin,Tumbes,Peru,PE,-3.56694,-80.45153,109223.0,102343.0,503,SA,Amérique du Sud
24,24,Pérou,admin,Huaraz,Peru,PE,-9.527787,-77.527776,86934.0,63039.0,506,SA,Amérique du Sud
28,28,Pérou,admin,Puerto Maldonado,Peru,PE,-12.59331,-69.189128,67155.0,37543.0,196,SA,Amérique du Sud
30,30,Pérou,admin,Abancay,Peru,PE,-13.633889000000002,-72.881389,55111.0,52851.0,195,SA,Amérique du Sud
31,31,Pérou,admin,Moquegua,Peru,PE,-17.198321,-70.935668,54517.0,22703.0,170,SA,Amérique du Sud
38,38,Pérou,admin,Moyobamba,Peru,PE,-6.034159,-76.971678,47734.0,44276.0,163,SA,Amérique du Sud
39,39,Pérou,admin,Huancavelica,Peru,PE,-12.782612,-74.972661,44388.0,41576.0,162,SA,Amérique du Sud
87,87,Pérou,admin,Ayacucho,Peru,PE,-13.158782,-74.22321,0.0,,426,SA,Amérique du Sud
88,88,Pérou,admin,Chiclayo,Peru,PE,-6.771372,-79.840876,0.0,,427,SA,Amérique du Sud
0,0,Uruguay,primary,Montevideo,Uruguay,UY,-34.858056,-56.170833,1513000.0,5324.0,428,SA,Amérique du Sud
1,1,Uruguay,admin,Rivera,Uruguay,UY,-30.901389,-55.543333,200000.0,64465.0,429,SA,Amérique du Sud
3,3,Uruguay,admin,Salto,Uruguay,UY,-31.383333,-57.966667,105690.0,99823.0,431,SA,Amérique du Sud
4,4,Uruguay,admin,Paysandú,Uruguay,UY,-32.321389,-58.07555600000001,79016.0,73249.0,432,SA,Amérique du Sud
5,5,Uruguay,admin,Melo,Uruguay,UY,-32.370278000000006,-54.1675,55494.0,51023.0,433,SA,Amérique du Sud
6,6,Uruguay,admin,Maldonado,Uruguay,UY,-34.9,-54.95,55478.0,48277.0,434,SA,Amérique du Sud
7,7,Uruguay,admin,Tacuarembó,Uruguay,UY,-31.716944,-55.981111,54277.0,51854.0,435,SA,Amérique du Sud
