,admin,capital,city,country,iso2,lat,lng,population,population_proper
141,Ethiopie,,Desē,Ethiopia,ET,11.133333,39.633333,183802.0,136056.0
142,Zambie,,Chingola,Zambia,ZM,-12.528968,27.883818,182015.0,148564.0
143,Libye,admin,Zuwārah,Libya,LY,32.931203000000004,12.081992,180310.0,67386.0
144,Côte d'Ivoire,admin,Korhogo,Côte D’Ivoire,CI,9.458031,-5.629608,177711.0,167359.0
145,Ouganda,,Old Entebbe,Uganda,UG,0.028056,32.445278,175128.0,79700.0
146,Ethiopie,admin,Harar,Ethiopia,ET,9.313866,42.118151,174994.0,147306.0
147,Libye,admin,Al Marj,Libya,LY,32.487976,20.831744,169540.0,85315.0
148,Tchad,admin,Sagh,Chad,TD,9.1429,18.3923,169196.0,102528.0
149,Guinée,admin,Nzérékoré,Guinea,GN,7.747222,-8.823889,168121.0,132728.0
150,Zambie,admin,Livingstone,Zambia,ZM,-17.841939,25.85425,165480.0,109203.0
151,Tanzanie,admin,Kigoma,Tanzania,TZ,-4.876944,29.626667,164268.0,164268.0
152,Tunisie,,Zarzis,Tunisia,TN,33.503981,11.112155,159161.0,79316.0
153,Tchad,admin,Abéché,Chad,TD,13.816667,20.816667,158317.0,74188.0
154,Tchad,admin,Moundou,Chad,TD,8.566667,16.083333,156705.0,135167.0
155,Ethiopie,,Gonder,Ethiopia,ET,12.6,37.466667,156230.0,153914.0
156,Madagascar,admin,Mahajanga,Madagascar,MG,-15.713935,46.315858,154657.0,135660.0
157,Zambie,,Mufulira,Zambia,ZM,-12.54982,28.240711,153624.0,120500.0
158,Zambie,,Luanshya,Zambia,ZM,-13.136671,28.416611,151993.0,113365.0
159,Angola,admin,Benguela,Angola,AO,-12.578333,13.407222,151226.0,132808.0
160,Kenya,,Kitale,Kenya,KE,1.015725,35.006217,150495.0,75123.0
161,Ouganda,admin,Tororo,Uganda,UG,0.692991,34.180853000000006,150000.0,43700.0
162,Côte d'Ivoire,admin,Man,Côte D’Ivoire,CI,7.4125130000000015,-7.55383,146974.0,139341.0
163,Ouganda,admin,Gulu,Uganda,UG,2.774569,32.29899,146858.0,142003.0
164,Libye,admin,Gharyān,Libya,LY,32.172222,13.020278,146810.0,85219.0
165,Kenya,,Machakos,Kenya,KE,-1.516667,37.266667,144925.0,31971.0
166,Tunisie,admin,Kairouan,Tunisia,TN,35.678102,10.096333,144522.0,119794.0
167,Libye,admin,Ajdābiyā,Libya,LY,30.755454,20.226255,143833.0,134358.0
168,Guinée,admin,Labé,Guinea,GN,11.316667,-12.283333,140575.0,58649.0
169,Tunisie,admin,Bizerte,Tunisia,TN,37.274423,9.87391,139843.0,115268.0
170,Ouganda,admin,Lira,Uganda,UG,2.235,32.909721999999995,135445.0,119323.0
171,Ethiopie,admin,Āwasa,Ethiopia,ET,7.05,38.466667,133097.0,133097.0
172,Angola,admin,Namibe,Angola,AO,-15.196110999999998,12.152222,132900.0,123361.0
173,Mozambique,admin,Tete,Mozambique,MZ,-16.156389,33.586667,129316.0,115050.0
174,Mozambique,admin,Xai-Xai,Mozambique,MZ,-25.051944,33.644167,128805.0,127366.0
175,Ethiopie,,Jīma,Ethiopia,ET,7.666666999999999,36.833333,128306.0,128306.0
176,Côte d'Ivoire,minor,Divo,Côte D’Ivoire,CI,5.83739,-5.357229,127867.0,127867.0
177,Tunisie,admin,Gafsa,Tunisia,TN,34.425,8.784167,126803.0,81232.0
178,Angola,admin,Malanje,Angola,AO,-9.544722,16.345278,125856.0,87046.0
179,Angola,admin,Lubango,Angola,AO,-14.916667000000002,13.5,125632.0,102541.0
180,Côte d'Ivoire,admin,Gagnoa,Côte D’Ivoire,CI,6.131933999999998,-5.950601,123184.0,99192.0
181,Mali,admin,Ségou,Mali,ML,13.4317,-6.2157,122952.0,92552.0
182,Mozambique,,Maxixe,Mozambique,MZ,-23.859722,35.34722199999999,119868.0,105895.0
183,Niger,,Agadez,Niger,NE,16.973333,7.991111,117770.0,88561.0
184,Guinée,admin,Kindia,Guinea,GN,10.066667,-12.85,117062.0,69960.0
185,Mali,admin,Gao,Mali,ML,16.271667,-0.044722000000000005,116967.0,57978.0
186,Guinée,admin,Boké,Guinea,GN,10.933333,-14.3,116270.0,116270.0
187,Niger,admin,Tahoua,Niger,NE,14.8888,5.2692,115956.0,80425.0
188,Mozambique,admin,Inhambane,Mozambique,MZ,-23.865,35.383333,115776.0,73884.0
189,Madagascar,admin,Toliara,Madagascar,MG,-23.352798,43.669974,115319.0,97237.0
190,Tunisie,admin,Nabeul,Tunisia,TN,36.456058,10.73763,115149.0,115149.0
191,Ethiopie,,Giyon,Ethiopia,ET,8.533333,37.983333,114534.0,38394.0
192,Angola,admin,Cuito,Angola,AO,-12.383333,16.933332999999998,114286.0,113624.0
193,Guinée,admin,Kankan,Guinea,GN,10.383333,-9.3,114009.0,106906.0
194,Somalie,admin,Jawhar,Somalia,SO,2.780868,45.500484,111308.0,62000.0
195,Côte d'Ivoire,,Soubré,Côte D’Ivoire,CI,5.785556,-6.608333,108933.0,58492.0
196,Mali,admin,Mopti,Mali,ML,14.489094,-4.1928269999999985,108456.0,78083.0
197,Mali,minor,Koutiala,Mali,ML,12.391726,-5.4642089999999985,104927.0,99353.0
198,Niger,minor,Arlit,Niger,NE,18.736944,7.385278,100000.0,80000.0
