,admin,capital,city,country,iso2,lat,lng,population,population_proper
86,Iran,admin,Karaj,Iran,IR,35.832664,50.991545,1423000.0,1423000.0
87,Iran,admin,Tabrīz,Iran,IR,38.08,46.2919,1413000.0,1196426.0
88,Philippines,admin,Davao,Philippines,PH,7.0730559999999985,125.612778,1402000.0,1212504.0
89,Indonésie,,Semarangindah,Indonesia,ID,-6.974,110.3909,1396000.0,1288084.0
90,Russie,admin,Novosibirsk,Russia,RU,55.0415,82.9346,1389000.0,1037201.0
91,Iraq,admin,Mosul,Iraq,IQ,36.335,43.118889,1316000.0,1140934.0
92,Russie,admin,Yekaterinburg,Russia,RU,56.8519,60.6122,1313000.0,1227976.0
93,Pakistan,admin,Peshāwar,Pakistan,PK,34.008,71.57848800000002,1303000.0,1218773.0
94,Myanmar,admin,Mandalay,Burma,MM,21.969673,96.087381,1300000.0,1034000.0
95,Turquie,admin,Adana,Turkey,TR,37.001667,35.32888900000001,1293000.0,1197890.0
96,Russie,admin,Nizhniy Novgorod,Russia,RU,56.326944,44.0075,1278000.0,1214926.0
97,Indonésie,,Ujungtanah,Indonesia,ID,-5.1146,119.4245,1262000.0,1262000.0
98,Iran,admin,Shīrāz,Iran,IR,29.610308000000003,52.531135,1240000.0,1240000.0
99,Kazakhstan,admin,Almaty,Kazakhstan,KZ,43.256667,76.928611,1209000.0,983512.0
100,Pakistan,minor,Abbottābād,Pakistan,PK,34.1463,73.21168399999998,1183647.0,881000.0
101,Indonésie,minor,Cilacap,Indonesia,ID,-7.726389,109.009444,1174964.0,1174964.0
102,Russie,admin,Samara,Russia,RU,53.200065,50.150002,1137000.0,856190.0
103,Russie,admin,Omsk,Russia,RU,55.0,73.4,1135000.0,1043403.0
104,Corée du Nord,minor,Namp’o,"Korea, North",KP,38.7375,125.407778,1127000.0,455000.0
105,Philippines,admin,Cagayan de Oro,Philippines,PH,8.481111,124.643056,1121561.0,602088.0
106,Viet Nam,admin,Cần Thơ,Vietnam,VN,10.037105,105.788249,1121000.0,259598.0
107,Russie,admin,Kazan’,Russia,RU,55.78874,49.122144,1115000.0,912270.0
108,Russie,admin,Chelyabinsk,Russia,RU,55.154015,61.42915,1091000.0,946604.0
109,Tadjikistan,primary,Dushanbe,Tajikistan,TJ,38.56,68.773889,1086244.0,679400.0
110,Corée du Sud,,Kumasan,"Korea, South",KR,35.2,128.583333,1081499.0,1081499.0
111,Corée du Sud,,Suwŏn,"Korea, South",KR,37.291111,127.008889,1078000.0,1078000.0
112,Corée du Sud,admin,Ulsan,"Korea, South",KR,35.537222,129.316667,1061000.0,962865.0
113,Jordanie,primary,Amman,Jordan,JO,31.95,35.93333300000001,1060000.0,1060000.0
114,Russie,admin,Rostov-na-Donu,Russia,RU,47.23135,39.723284,1052000.0,1013134.0
115,Turquie,admin,Gaziantep,Turkey,TR,37.059444,37.3825,1044000.0,842524.0
116,Arabie Saoudite,admin,Medina,Saudi Arabia,SA,24.468611,39.614167,1010000.0,1010000.0
117,Syrie,admin,Homs,Syria,SY,34.726818,36.723391,1005000.0,775404.0
118,Viet Nam,admin,Đà Nẵng,Vietnam,VN,16.074806,108.223958,1000000.0,887069.0
119,Yémen,admin,Aden,Yemen,YE,12.779444,45.036667,1000000.0,550602.0
120,Iran,admin,Ahvāz,Iran,IR,31.312381,48.677175,996000.0,841145.0
121,Iraq,admin,Dihok,Iraq,IQ,36.867089,42.988446,986000.0,255000.0
122,Iran,admin,Qom,Iran,IR,34.6401,50.8764,973000.0,893956.0
123,Philippines,admin,General Santos,Philippines,PH,6.112778,125.171667,950530.0,538086.0
124,Viet Nam,admin,Huế,Vietnam,VN,16.461901,107.595458,950000.0,340000.0
125,Philippines,admin,Bacolod,Philippines,PH,10.6677,122.9533,949354.0,511820.0
126,Corée du Sud,,Song-mal,"Korea, South",KR,37.418611,127.132778,942000.0,1031935.0
127,Myanmar,primary,Nay Pyi Taw,Burma,MM,19.745,96.129722,930000.0,194824.0
128,Iraq,admin,Erbil,Iraq,IQ,36.192573,44.01062,926000.0,665740.0
129,Turquie,admin,Konya,Turkey,TR,37.871354,32.484636,919000.0,518360.0
130,Indonésie,,Bogor,Indonesia,ID,-6.594444,106.789167,918000.0,800000.0
131,Jordanie,admin,Az Zarqā’,Jordan,JO,32.072754,36.08796,894691.0,792665.0
132,Turquie,minor,Tarsus,Turkey,TR,36.91766,34.892773,894318.0,238276.0
133,Mongolie,primary,Ulaanbaatar,Mongolia,MN,47.916667,106.916667,885000.0,769612.0
134,Malaisie,admin,Johor Bahru,Malaysia,MY,1.4655,103.7578,875000.0,802489.0
135,Iraq,admin,Al Başrah,Iraq,IQ,30.533016,47.797466,870000.0,870000.0
136,Kirghizistan,primary,Bishkek,Kyrgyzstan,KG,42.873056,74.600278,837000.0,804212.0
137,Iran,admin,Kermānshāh,Iran,IR,34.314167,47.065,828313.0,828313.0
138,Malaisie,,Butterworth,Malaysia,MY,5.399102,100.363818,821652.0,107591.0
139,Philippines,admin,Cebu City,Philippines,PH,10.311111,123.891667,815000.0,798634.0
140,Viet Nam,admin,Quy Nhơn,Vietnam,VN,13.768898000000002,109.228563,805290.0,280900.0
141,Malaisie,,Melaka,Malaysia,MY,2.196,102.2405,788706.0,503127.0
142,Turquie,admin,Antalya,Turkey,TR,36.908118,30.695565,783000.0,623937.0
143,Yémen,admin,Al Ḩudaydah,Yemen,YE,14.797812,42.954516,780000.0,475221.0
144,Corée du Nord,,Hasu-dong,"Korea, North",KP,39.923611,127.575556,773000.0,418341.0
145,Philippines,admin,Zamboanga City,Philippines,PH,6.910255,122.071715,773000.0,457623.0
146,Turquie,admin,Trabzon,Turkey,TR,41.005,39.726944,764714.0,230399.0
147,Laos,primary,Vientiane,Laos,LA,17.966667,102.6,754000.0,570348.0
148,Corée du Nord,,Hŭngnam,"Korea, North",KP,39.831667,127.61861100000002,751322.0,346082.0
149,Yémen,admin,Ta‘izz,Yemen,YE,13.579522,44.020908,751000.0,615222.0
150,Taïwan,,Shangzhuwei,Taiwan,TW,24.056111,120.49,750000.0,236588.0
151,Taïwan,admin,Hsinchu,Taiwan,TW,24.803611,120.968611,750000.0,415557.0
152,Ouzbékistan,admin,Namangan,Uzbekistan,UZ,41.0,71.65,750000.0,449200.0
153,Ouzbékistan,admin,Farg‘ona,Uzbekistan,UZ,40.393333,71.779444,750000.0,214000.0
154,Philippines,,Dinaga,Philippines,PH,13.65,123.166667,741635.0,174931.0
155,Afghanistan,admin,Kandahār,Afghanistan,AF,31.613323,65.710126,715542.0,512200.0
156,Ouzbékistan,admin,Samarqand,Uzbekistan,UZ,39.654167,66.959722,708000.0,596300.0
157,Malaisie,admin,Ipoh,Malaysia,MY,4.5841,101.0829,673318.0,639136.0
158,Corée du Nord,admin,Ch’ŏngjin,"Korea, North",KP,41.795556,129.775833,672614.0,327000.0
159,Iraq,admin,An Najaf,Iraq,IQ,32.025944,44.346246,665552.0,560000.0
160,Arabie Saoudite,,Aţ Ţā’if,Saudi Arabia,SA,21.270278,40.415833,657282.0,530848.0
161,Viet Nam,,Hiệp Hòa,Vietnam,VN,10.933333,106.833333,652646.0,652646.0
162,Jordanie,admin,Irbid,Jordan,JO,32.555556,35.85,650000.0,292040.0
163,Ouzbékistan,admin,Andijon,Uzbekistan,UZ,40.782056,72.344238,650000.0,323900.0
164,Sri Lanka,,Colombo,Sri Lanka,LK,6.935,79.84899999999998,648034.0,
165,Arabie Saoudite,,Al Hufūf,Saudi Arabia,SA,25.364568,49.565323,637389.0,400000.0
166,Iraq,admin,Kirkuk,Iraq,IQ,35.468056,44.392222,601433.0,508672.0
167,Iran,admin,Zāhedān,Iran,IR,29.4963,60.8629,598887.0,551980.0
168,Afghanistan,admin,Jalālābād,Afghanistan,AF,34.426468,70.45153,597971.0,205423.0
169,Iraq,admin,Al Ḩillah,Iraq,IQ,32.463671999999995,44.41963,594605.0,364700.0
170,Arabie Saoudite,,Al Ḩillah,Saudi Arabia,SA,23.489454,46.853024,594605.0,594605.0
171,Viet Nam,,Phú Vinh,Vietnam,VN,18.716667,105.7,593645.0,435208.0
172,Malaisie,,Kuching,Malaysia,MY,1.416667,110.333333,570407.0,504963.0
173,Arabie Saoudite,admin,Tabūk,Saudi Arabia,SA,28.399804,36.571505,547957.0,455450.0
